language,num_pages,genres,rating_score,num_reviews,current_readers,want_to_read,price,rating
English,344,"['Mystery', 'Thriller', 'Mystery Thriller', 'Fiction', 'Horror', 'Paranormal', 'Audiobook']",3.79,12402,3245,121000,13.99,
English,306,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Contemporary', 'Audiobook', 'Crime']",4.09,10440,4485,38783,0,
English,204,"['Fantasy', 'Science Fiction', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Novels']",3.52,427,138,41000,9.99,
English,150,"['Fantasy', 'Young Adult', 'Novella', 'Audiobook', 'Fiction', 'Urban Fantasy', 'Adult']",4.05,2717,280,288000,11.99,
English,320,"['Historical Fiction', 'Mystery', 'Fiction', 'Audiobook', 'Historical', 'Romance', 'Mystery Thriller']",3.72,7931,6509,147000,11.99,
English,356,"['Fantasy', 'Young Adult', 'Romance', 'Fae', 'Young Adult Fantasy', 'Fiction', 'Magic']",4.01,15435,8972,97900,12.99,
English,352,"['Romance', 'Fiction', 'Contemporary', 'Magical Realism', 'Time Travel', 'Fantasy', 'Contemporary Romance']",4.29,17843,8605,100000,10.99,
English,448,"['Mythology', 'Fantasy', 'Historical Fiction', 'Greek Mythology', 'Fiction', 'Retellings', 'Historical']",4.26,2970,2290,127000,8.57,
English,703,"['Fantasy', 'Romance', 'Fantasy Romance', 'Vampires', 'Fiction', 'Adult', 'Paranormal']",3.96,6754,7962,142,7.99,
Spanish; Castilian,422,"['Mystery', 'Fiction', 'Crime', 'Audiobook', 'Mystery Thriller', 'Cozy Mystery', 'Thriller']",4.52,8904,7162,3574,14.99,
English,315,"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Audiobook', 'Adult', 'Chick Lit']",3.9,7758,1817,18700,9.99,
English,200,"['Business', 'Nonfiction', 'Psychology', 'Self Help', 'Leadership', 'Communication', 'Management']",3.95,2497,8016,394,14.99,
English,536,"['Nonfiction', 'History', 'Banned Books', 'Holocaust']",3.91,2,2,47900,,
English,44,"['Poetry', 'Picture Books', 'Childrens', 'Fantasy', 'Juvenile', 'Young Adult', 'Middle Grade']",3.64,375,24,26100,7.99,
English,374,"['Fiction', 'Horror', 'Young Adult', 'Romance', 'Gothic', 'Thriller', 'Drama']",3.77,1509,1243,14700,9.99,
English,159,"['Short Stories', 'Fiction', 'Literature', 'Novels', 'Spanish Literature', 'Latin American', 'Literary Fiction']",3.68,68,29,14800,8.99,
English,622,"['Poetry', 'Classics', 'Fiction', 'Feminism', '20th Century', 'American', 'Womens']",4.29,454,943,4949,0,
English,448,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook']",4.02,1085,2023,527,1.99,
English,406,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'Survival', 'American History', 'Westerns']",4.23,2576,832,644,8.99,
English,210,"['Fantasy', 'Reference', 'Fiction', 'Art', 'Maps', 'High Fantasy', 'Science Fiction Fantasy']",4.21,252,552,,17.49,
English,224,"['Fiction', 'Classics', 'Literary Fiction', 'Novels', 'Humor', 'Audiobook', 'British Literature']",3.78,607,161,3020,9.99,
English,82,"['Nonfiction', 'Memoir', 'Germany', 'German Literature', 'Biography', 'History', 'World War II']",3.34,61,15,36900,12.99,
English,304,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Horse Racing']",3.92,175,162,303,8.99,
English,216,"['Fantasy', 'Young Adult', 'Short Stories', 'Fairy Tales', 'Fiction', 'Retellings', 'Romance']",3.7,592,395,1276,1.99,
English,71,"['Plays', 'Drama', 'Fiction', 'Theatre', 'Audiobook', 'Classics', 'School']",3.68,528,40,1988,,
English,292,"['Horror', 'Fiction', 'Gothic', 'Paranormal', 'Southern Gothic', 'Fantasy', 'Audiobook']",4.01,2478,757,1562,9.99,
English,180,"['Mystery', 'Christmas', 'Cozy Mystery', 'Fiction', 'Canada', 'Holiday', 'Audiobook']",3.98,53,64,1551,9.99,
